,Unnamed: 0.1,max_season,min_season,player_id,player_name,rapm,rapm_def,rapm_def_rank,rapm_intercept,rapm_off,rapm_off_rank,rapm_rank
485,,2017,2017,202397203484.0,Kentavious Caldwell-Pope,0.98,0.43,147.0,103.29,0.55,131.0,114.0
486,,2017,2017,202397203484.0,Ish Smith,0.98,0.43,147.0,103.29,0.55,131.0,114.0
485,,2017,2017,2546204001.0,Carmelo Anthony,0.27,0.13,204.0,103.28,0.14,189.0,198.0
486,,2017,2017,2546204001.0,Kristaps Porzingis,0.27,0.13,204.0,103.28,0.14,189.0,198.0
485,,2017,2017,200794203145.0,Kent Bazemore,0.76,1.4,51.0,103.25,-0.64,342.0,132.0
486,,2017,2017,200794203145.0,Paul Millsap,0.76,1.4,51.0,103.25,-0.64,342.0,132.0
485,,2017,2017,201567202684.0,Tristan Thompson,1.55,0.68,117.0,103.28,0.87,99.0,72.0
486,,2017,2017,201567202684.0,Kevin Love,1.55,0.68,117.0,103.28,0.87,99.0,72.0
485,,2017,2017,203459203468.0,CJ McCollum,-0.27,-1.18,437.0,103.33,0.91,94.0,281.0
486,,2017,2017,203459203468.0,Allen Crabbe,-0.27,-1.18,437.0,103.33,0.91,94.0,281.0
486,,2017,2017,201587203469.0,Cody Zeller,2.59,1.71,28.0,103.27,0.88,98.0,27.0
485,,2017,2017,201587203469.0,Nicolas Batum,2.59,1.71,28.0,103.27,0.88,98.0,27.0
485,,2017,2017,2038971626157.0,Zach LaVine,-0.79,-1.28,447.0,103.33,0.5,138.0,342.0
486,,2017,2017,2038971626157.0,Karl-Anthony Towns,-0.79,-1.28,447.0,103.33,0.5,138.0,342.0
486,,2017,2017,200768201942.0,DeMar DeRozan,3.16,0.37,157.0,103.34,2.79,16.0,17.0
485,,2017,2017,200768201942.0,Kyle Lowry,3.16,0.37,157.0,103.34,2.79,16.0,17.0
485,,2017,2017,2037101109.0,Jamal Crawford,-2.45,-0.59,346.0,103.31,-1.86,459.0,461.0
486,,2017,2017,2037101109.0,Raymond Felton,-2.45,-0.59,346.0,103.31,-1.86,459.0,461.0
485,,2017,2017,2037203085.0,Austin Rivers,-0.31,-0.7,368.0,103.32,0.39,151.0,285.0
