,Unnamed: 0,player_id,rapm_off,rapm_def,rapm,rapm_rank,rapm_off_rank,rapm_def_rank,rapm_intercept,player_name,min_season,max_season
190,451,202689 203469,1.43,0.92,2.35,23.0,42.0,67.0,103.44,Cody Zeller,2017,2017
192,451,101107 203077,-0.63,0.96,0.33,170.0,338.0,63.0,103.39,Marvin Williams,2017,2017
194,451,200765 202710,0.58,0.11,0.69,119.0,109.0,201.0,103.43,Rajon Rondo,2017,2017
196,451,2772 201569,1.06,-0.31,0.75,113.0,64.0,296.0,103.46,Eric Gordon,2017,2017
198,451,202696 203932,1.25,0.65,1.9,41.0,54.0,99.0,103.41,Nikola Vucevic,2017,2017
200,450,203460 203506,-1.26,1.62,0.36,165.0,409.0,12.0,103.35,Andre Roberson,2017,2017
202,450,2730 203145,-1.18,0.73,-0.45,286.0,404.0,87.0,103.39,Kent Bazemore,2017,2017
204,450,201584 204001,-1.09,0.16,-0.93,352.0,394.0,186.0,103.4,Kristaps Porzingis,2017,2017
206,450,201188 203210,-0.67,1.15,0.48,149.0,348.0,42.0,103.39,JaMychal Green,2017,2017
208,451,200755 201601,1.18,2.33,3.51,6.0,55.0,3.0,103.42,JJ Redick,2017,2017
210,451,202397 202699,0.33,0.05,0.38,163.0,148.0,208.0,103.42,Ish Smith,2017,2017
212,450,2754 201188,0.81,0.84,1.65,51.0,81.0,73.0,103.41,Marc Gasol,2017,2017
214,450,202694 202699,0.02,-0.27,-0.25,267.0,214.0,293.0,103.41,Tobias Harris,2017,2017
216,451,202397 203484,0.77,1.53,2.3,24.0,84.0,17.0,103.4,Ish Smith,2017,2017
218,450,2546 204001,0.32,-0.55,-0.23,263.0,147.0,339.0,103.43,Carmelo Anthony,2017,2017
220,450,200794 203145,-0.29,1.77,1.49,58.0,273.0,10.0,103.38,Kent Bazemore,2017,2017
222,450,201567 202684,1.5,1.54,3.04,11.0,39.0,13.0,103.4,Tristan Thompson,2017,2017
224,450,203459 203468,0.22,-0.52,-0.3,270.0,165.0,330.0,103.45,CJ McCollum,2017,2017
226,450,201587 203469,1.01,1.38,2.39,23.0,65.0,25.0,103.42,Nicolas Batum,2017,2017
228,450,203897 1626157,0.98,-1.71,-0.73,325.0,67.0,440.0,103.47,Zach LaVine,2017,2017
230,450,200768 201942,2.33,0.49,2.82,14.0,13.0,123.0,103.49,Kyle Lowry,2017,2017
232,450,2037 101109,-1.38,0.41,-0.96,357.0,415.0,131.0,103.42,Jamal Crawford,2017,2017
234,450,2037 203085,-0.75,0.37,-0.38,280.0,358.0,145.0,103.44,Austin Rivers,2017,2017
236,451,202738 203935,2.51,-2.34,0.17,185.0,9.0,450.0,103.53,Marcus Smart,2017,2017
238,450,203503 203521,0.01,0.43,0.44,157.0,216.0,128.0,103.42,Tony Snell,2017,2017
240,450,201960 202685,0.96,-0.75,0.21,182.0,70.0,374.0,103.45,DeMarre Carroll,2017,2017
242,451,2772 201976,2.36,0.2,2.56,17.0,13.0,176.0,103.48,Patrick Beverley,2017,2017
244,451,200768 202685,2.68,-0.62,2.07,36.0,4.0,355.0,103.49,Jonas Valanciunas,2017,2017
246,450,202355 203585,0.63,-0.6,0.03,212.0,99.0,347.0,103.43,Hassan Whiteside,2017,2017
248,450,2738 201939,2.48,-0.03,2.45,21.0,10.0,226.0,103.48,Stephen Curry,2017,2017
250,450,203081 203459,-0.01,-1.39,-1.41,393.0,220.0,425.0,103.46,Damian Lillard,2017,2017
252,451,201935 201976,2.34,-0.53,1.81,45.0,13.0,332.0,103.51,James Harden,2017,2017
254,451,201142 203110,2.08,1.35,3.44,6.0,17.0,26.0,103.45,Draymond Green,2017,2017
256,450,2738 202691,1.17,0.34,1.51,58.0,57.0,148.0,103.46,Andre Iguodala,2017,2017
258,450,202339 203933,0.5,-1.01,-0.51,293.0,116.0,400.0,103.44,T.J. Warren,2017,2017
260,450,203897 203952,0.87,-2.1,-1.24,381.0,74.0,447.0,103.48,Andrew Wiggins,2017,2017
262,450,201566 1627734,-0.89,0.63,-0.27,267.0,375.0,103.0,103.4,Russell Westbrook,2017,2017
264,451,2749 201163,0.79,-0.51,0.28,171.0,82.0,329.0,103.47,Jameer Nelson,2017,2017
266,450,200746 201980,1.76,0.96,2.73,17.0,25.0,62.0,103.44,Danny Green,2017,2017
268,451,203903 1626204,0.48,0.19,0.67,121.0,123.0,178.0,103.42,Larry Nance Jr.,2017,2017
270,450,202340 202738,0.87,-2.1,-1.22,380.0,76.0,448.0,103.55,Isaiah Thomas,2017,2017
272,450,201565 204001,0.62,-0.64,-0.02,222.0,101.0,356.0,103.43,Derrick Rose,2017,2017
274,451,2730 200794,-0.85,2.56,1.7,48.0,371.0,1.0,103.35,Paul Millsap,2017,2017
276,450,202083 203552,0.3,0.25,0.55,138.0,150.0,163.0,103.41,Wesley Matthews,2017,2017
278,450,201572 1626178,0.39,-0.4,-0.01,219.0,141.0,313.0,103.43,Rondae Hollis-Jefferson,2017,2017
